Timer started ...
MOD: delay(1250 1250), type(tTMRCO20), from(I1.OSCOUT), to(I1.TIMEROUT)
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q0.Q ), to(Q3.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q0.Q ), to(Q2.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q0.Q ), to(Q1.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q0.Q ), to(Q0.D.X2 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q0.Q ), to(Q0.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q0.Q ), to(LED18 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q0.Q ), to(LED16.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q0.Q ), to(LED15.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q0.Q ), to(LED14.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q0.Q ), to(LED13.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q0.Q ), to(LED12.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q0.Q ), to(LED11.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q0.Q ), to(LED10.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q0.Q ), to(LED9.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(Q0.Q ), to(LED8.D )
NET: delay(405 405), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*2+tMCELL), from(S2_NO.PAD), to(Q3.D )
NET: delay(405 405), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*2+tMCELL), from(S2_NO.PAD), to(Q2.D.X2 )
NET: delay(405 405), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*2+tMCELL), from(S2_NO.PAD), to(Q2.D.X1 )
NET: delay(405 405), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*2+tMCELL), from(S2_NO.PAD), to(Q1.D )
NET: delay(405 405), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*2+tMCELL), from(S2_NO.PAD), to(Q0.D.X2 )
NET: delay(395 395), type(tIN+tIOI(LVCMOS18)+tROUTE+tMCELL), from(DIP2.PAD), to(Q3.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P3.Q ), to(P3.D.X2 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P3.Q ), to(P3.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P3.Q ), to(P2.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P3.Q ), to(P1.D.X2 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P3.Q ), to(P1.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P3.Q ), to(P0.D.X2 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P3.Q ), to(P0.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P3.Q ), to(RDIS2g.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P3.Q ), to(RDIS2f.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P3.Q ), to(RDIS2e.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P3.Q ), to(RDIS2d.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P3.Q ), to(RDIS2c.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P3.Q ), to(RDIS2b.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P3.Q ), to(RDIS2a.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P3.Q ), to(DIS2g.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P3.Q ), to(DIS2f.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P3.Q ), to(DIS2e.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P3.Q ), to(DIS2d.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P3.Q ), to(DIS2c.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P3.Q ), to(DIS2b.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P3.Q ), to(DIS2a.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P3.Q ), to(DIS1g )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P3.Q ), to(DIS1f )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P3.Q ), to(DIS1e )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P3.Q ), to(DIS1d )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P3.Q ), to(DIS1c )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P3.Q ), to(DIS1b )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P3.Q ), to(DIS1a )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P2.Q ), to(P3.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P2.Q ), to(P2.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P2.Q ), to(P1.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P2.Q ), to(P0.D.X2 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P2.Q ), to(P0.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P2.Q ), to(RDIS2g.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P2.Q ), to(RDIS2f.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P2.Q ), to(RDIS2e.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P2.Q ), to(RDIS2d.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P2.Q ), to(RDIS2c.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P2.Q ), to(RDIS2b.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P2.Q ), to(RDIS2a.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P2.Q ), to(DIS2g.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P2.Q ), to(DIS2f.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P2.Q ), to(DIS2e.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P2.Q ), to(DIS2d.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P2.Q ), to(DIS2c.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P2.Q ), to(DIS2b.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P2.Q ), to(DIS2a.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P2.Q ), to(DIS1g )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P2.Q ), to(DIS1f )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P2.Q ), to(DIS1e )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P2.Q ), to(DIS1d )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P2.Q ), to(DIS1c )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P2.Q ), to(DIS1b )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P2.Q ), to(DIS1a )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P1.Q ), to(P3.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P1.Q ), to(P2.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P1.Q ), to(P1.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P1.Q ), to(P0.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P1.Q ), to(RDIS2g.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P1.Q ), to(RDIS2f.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P1.Q ), to(RDIS2e.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P1.Q ), to(RDIS2d.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P1.Q ), to(RDIS2c.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P1.Q ), to(RDIS2b.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P1.Q ), to(RDIS2a.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P1.Q ), to(DIS2g.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P1.Q ), to(DIS2f.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P1.Q ), to(DIS2e.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P1.Q ), to(DIS2d.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P1.Q ), to(DIS2c.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P1.Q ), to(DIS2b.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P1.Q ), to(DIS2a.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P1.Q ), to(DIS1g )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P1.Q ), to(DIS1f )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P1.Q ), to(DIS1e )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P1.Q ), to(DIS1d )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P1.Q ), to(DIS1c )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P1.Q ), to(DIS1b )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P1.Q ), to(DIS1a )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P0.Q ), to(P3.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P0.Q ), to(P2.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P0.Q ), to(P1.D.X2 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P0.Q ), to(P1.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P0.Q ), to(P0.D.X2 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P0.Q ), to(P0.D.X1 )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P0.Q ), to(RDIS2g.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P0.Q ), to(RDIS2f.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P0.Q ), to(RDIS2d.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P0.Q ), to(RDIS2c.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P0.Q ), to(RDIS2b.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P0.Q ), to(RDIS2a.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P0.Q ), to(DIS2g.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P0.Q ), to(DIS2f.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P0.Q ), to(DIS2d.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P0.Q ), to(DIS2c.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P0.Q ), to(DIS2b.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P0.Q ), to(DIS2a.D )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P0.Q ), to(DIS1g )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P0.Q ), to(DIS1f )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P0.Q ), to(DIS1d )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P0.Q ), to(DIS1c )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P0.Q ), to(DIS1b )
NET: delay(400 400), type(tFBK+tROUTE+tBLA*7+tMCELL), from(P0.Q ), to(DIS1a )
NET: delay(365 365), type(tFBK+tROUTE+tMCELL), from(LED8.Q ), to(LED9.D.X1 )
NET: delay(365 365), type(tFBK+tROUTE+tMCELL), from(LED8.Q ), to(LED8.D )
NET: delay(370 370), type(tFBK+tROUTE+tBLA+tMCELL), from(LED9.Q ), to(LED10.D.X1 )
NET: delay(370 370), type(tFBK+tROUTE+tBLA+tMCELL), from(LED9.Q ), to(LED9.D.X2 )
NET: delay(370 370), type(tFBK+tROUTE+tBLA+tMCELL), from(LED9.Q ), to(LED9.D.X1 )
NET: delay(370 370), type(tFBK+tROUTE+tBLA+tMCELL), from(LED9.Q ), to(LED8.D )
NET: delay(370 370), type(tFBK+tROUTE+tBLA+tMCELL), from(LED10.Q ), to(LED11.D.X1 )
NET: delay(370 370), type(tFBK+tROUTE+tBLA+tMCELL), from(LED10.Q ), to(LED10.D.X2 )
NET: delay(370 370), type(tFBK+tROUTE+tBLA+tMCELL), from(LED10.Q ), to(LED10.D.X1 )
NET: delay(370 370), type(tFBK+tROUTE+tBLA+tMCELL), from(LED10.Q ), to(LED8.D )
NET: delay(370 370), type(tFBK+tROUTE+tBLA+tMCELL), from(LED11.Q ), to(LED12.D.X1 )
NET: delay(370 370), type(tFBK+tROUTE+tBLA+tMCELL), from(LED11.Q ), to(LED11.D.X2 )
NET: delay(370 370), type(tFBK+tROUTE+tBLA+tMCELL), from(LED11.Q ), to(LED11.D.X1 )
NET: delay(370 370), type(tFBK+tROUTE+tBLA+tMCELL), from(LED11.Q ), to(LED8.D )
NET: delay(370 370), type(tFBK+tROUTE+tBLA+tMCELL), from(LED12.Q ), to(LED13.D.X1 )
NET: delay(370 370), type(tFBK+tROUTE+tBLA+tMCELL), from(LED12.Q ), to(LED12.D.X2 )
NET: delay(370 370), type(tFBK+tROUTE+tBLA+tMCELL), from(LED12.Q ), to(LED12.D.X1 )
NET: delay(370 370), type(tFBK+tROUTE+tBLA+tMCELL), from(LED12.Q ), to(LED8.D )
NET: delay(370 370), type(tFBK+tROUTE+tBLA+tMCELL), from(LED13.Q ), to(LED14.D.X1 )
NET: delay(370 370), type(tFBK+tROUTE+tBLA+tMCELL), from(LED13.Q ), to(LED13.D.X2 )
NET: delay(370 370), type(tFBK+tROUTE+tBLA+tMCELL), from(LED13.Q ), to(LED13.D.X1 )
NET: delay(370 370), type(tFBK+tROUTE+tBLA+tMCELL), from(LED13.Q ), to(LED8.D )
NET: delay(370 370), type(tFBK+tROUTE+tBLA+tMCELL), from(LED14.Q ), to(LED15.D.X1 )
NET: delay(370 370), type(tFBK+tROUTE+tBLA+tMCELL), from(LED14.Q ), to(LED14.D.X2 )
NET: delay(370 370), type(tFBK+tROUTE+tBLA+tMCELL), from(LED14.Q ), to(LED14.D.X1 )
NET: delay(370 370), type(tFBK+tROUTE+tBLA+tMCELL), from(LED14.Q ), to(LED8.D )
NET: delay(365 365), type(tFBK+tROUTE+tMCELL), from(LED15.Q ), to(LED15.D.X2 )
NET: delay(365 365), type(tFBK+tROUTE+tMCELL), from(LED15.Q ), to(LED15.D.X1 )
NET: delay(365 365), type(tFBK+tROUTE+tMCELL), from(LED16.Q ), to(LED16.D )
Fmax/Tpd has been written in: .\lab11_4.lco
Timing report has been written in: .\lab11_4.trp



Timer ended.
