Timer started ...
MOD: delay(95 95), type(tSRi), from(LED0.AP ), to(LED0.Q )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*10+tBCLK), from(memclk.OUT), to(m0q3.C )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*10+tBCLK), from(memclk.OUT), to(m0q4.C )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*10+tBCLK), from(memclk.OUT), to(m0q5.C )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*10+tBCLK), from(memclk.OUT), to(m0q6.C )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(alu0 )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(alu1.X1 )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(alu2 )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(alu3 )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(aly )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(alx )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(ale )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(ir6.D )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m13q0.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m13q1.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m13q2.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m13q3.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m13q4.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m13q5.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m13q6.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m12q0.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m12q1.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m12q2.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m12q3.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m12q4.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m12q5.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m12q6.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m11q0.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m11q1.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m11q2.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m11q3.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m11q4.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m11q5.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m11q6.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m10q0.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m10q1.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m10q2.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m10q3.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m10q4.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m10q5.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m10q6.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m9q0.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m9q1.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m9q2.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m9q3.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m9q4.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m9q5.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m9q6.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m8q0.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m8q1.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m8q2.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m8q3.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m8q4.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m8q5.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m8q6.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m7q0.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m7q1.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m7q2.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m7q3.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m7q4.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m7q5.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m7q6.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m6q0.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m6q1.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m6q2.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m6q3.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m6q4.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m6q5.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m6q6.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m5q0.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m5q1.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m5q2.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m5q3.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m5q4.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m5q5.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m5q6.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m4q0.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m4q1.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m4q2.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m4q3.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m4q4.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m4q5.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m4q6.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m3q0.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m3q1.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m3q2.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m3q3.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m3q4.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m3q5.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m3q6.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m2q0.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m2q1.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m2q2.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m2q3.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m2q4.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m2q5.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m2q6.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m1q0.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m1q1.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m1q2.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m1q3.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m1q4.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m1q5.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m1q6.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m0q0.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m0q1.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m0q2.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m0q3.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m0q4.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m0q5.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(m0q6.T )
NET: delay(545 545), type(tFBK+tROUTE+tBLA*12+tPTSR), from(ir6.Q ), to(LED16.AR )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(LED27.D.X1 )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(LED26.D.X1 )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(LED25.D.X1 )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(LED24.D.X1 )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir6.Q ), to(LED14 )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(alu0 )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(alu1.X1 )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(alu2 )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(alu3 )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(aly )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(alx )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(ale )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(ir5.D )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m13q0.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m13q1.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m13q2.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m13q3.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m13q4.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m13q5.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m13q6.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m12q0.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m12q1.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m12q2.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m12q3.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m12q4.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m12q5.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m12q6.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m11q0.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m11q1.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m11q2.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m11q3.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m11q4.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m11q5.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m11q6.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m10q0.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m10q1.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m10q2.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m10q3.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m10q4.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m10q5.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m10q6.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m9q0.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m9q1.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m9q2.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m9q3.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m9q4.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m9q5.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m9q6.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m8q0.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m8q1.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m8q2.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m8q3.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m8q4.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m8q5.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m8q6.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m7q0.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m7q1.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m7q2.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m7q3.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m7q4.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m7q5.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m7q6.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m6q0.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m6q1.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m6q2.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m6q3.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m6q4.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m6q5.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m6q6.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m5q0.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m5q1.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m5q2.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m5q3.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m5q4.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m5q5.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m5q6.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m4q0.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m4q1.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m4q2.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m4q3.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m4q4.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m4q5.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m4q6.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m3q0.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m3q1.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m3q2.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m3q3.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m3q4.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m3q5.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m3q6.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m2q0.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m2q1.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m2q2.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m2q3.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m2q4.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m2q5.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m2q6.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m1q0.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m1q1.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m1q2.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m1q3.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m1q4.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m1q5.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m1q6.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m0q0.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m0q1.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m0q2.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m0q3.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m0q4.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m0q5.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(m0q6.T )
NET: delay(545 545), type(tFBK+tROUTE+tBLA*12+tPTSR), from(ir5.Q ), to(LED16.AR )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(LED27.D.X1 )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(LED26.D.X1 )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(LED25.D.X1 )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(LED24.D.X1 )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir5.Q ), to(LED13 )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir4.Q ), to(alu0 )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir4.Q ), to(alu1.X1 )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir4.Q ), to(alu2 )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir4.Q ), to(alu3 )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir4.Q ), to(aly )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir4.Q ), to(alx )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir4.Q ), to(ale )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir4.Q ), to(ir4.D )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir4.Q ), to(m13q0.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir4.Q ), to(m13q1.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir4.Q ), to(m13q2.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir4.Q ), to(m13q3.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir4.Q ), to(m13q4.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir4.Q ), to(m13q5.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir4.Q ), to(m13q6.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir4.Q ), to(m12q0.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir4.Q ), to(m12q1.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir4.Q ), to(m12q2.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir4.Q ), to(m12q3.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir4.Q ), to(m12q4.T )
NET: delay(425 425), type(tFBK+tROUTE+tBLA*12+tMCELL), from(ir4.Q ), to(m12q5.T )
